config_id,run_mode,run_setting,seed_dir,method,mode,setting,seed,replicate_id,n,p,n_active,sigma2,support_threshold,n_draws,selected_size,active_idx0,selected_idx0,selected_ckpt_id,selected_epoch,selected_stage,selected_tau,precision,recall,f1,fdr,tp,fp,fn,tn,support_size,auroc,auprc,K_q,K_g,tau_start,tau_end,base_lr,stage_lr_decay,min_lr_scale,warmup_epochs,n_anneal_stages,min_stage_epochs,max_stage_epochs,q_entropy_weight,moment_recovery_score,recovery_score,active_mean_zerr_median,active_mean_zerr_mean,active_sd_logerr_median,active_sd_logerr_mean,active_sd_ratio_median,active_sd_ratio_mean,sd_ratio_median,sd_ratio_mean,active_marg_skl_median,active_marg_skl_mean,active_joint_skl_median,active_joint_skl_mean,softgate_absdiff_median,softgate_absdiff_mean,zero_soft_leakage_median,zero_soft_leakage_mean
E01,recovery,simple,seed_400,last_flow,recovery,simple,400,400,160,100,10,1.0,0.5,4000,8,12;18;25;31;38;49;52;81;89;97,12;18;31;38;49;52;81;97,28,675,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.8766666666666666,0.8200000000000001,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.0,1.2137198350767036,1.2137198350767036,1.1401715853262089,0.9818925706250672,0.0735482497504947,0.1304131742541997,1.0377210307369762,1.0069012914772235,1.0377210307369762,1.0069012914772235,0.7753289356181955,0.7915120426886708,3.038136473358841,2.9954389606505893,0.0817587291300296,0.0917481847597845,0.0339503362774848,0.0572494976222515
E01,recovery,simple,seed_434,last_flow,recovery,simple,434,434,160,100,10,1.0,0.5,4000,7,8;12;17;39;47;59;66;74;90;98,8;47;59;66;74;90;98,26,625,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9133333333333332,0.838125,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.0,0.9881290004137596,0.9881290004137596,0.9298584996859804,1.1804910594640616,0.0582705007277793,0.1017878881607909,0.9783392647141173,0.9950121292760464,0.9783392647141173,0.9950121292760464,0.5949627465266258,0.9898700190614058,1.39846167001276,1.8041958884551597,0.08014827221632,0.1012603082939609,0.0331457182765007,0.0607278198003768
E01,recovery,simple,seed_437,last_flow,recovery,simple,437,437,160,100,10,1.0,0.5,4000,56,7;15;22;28;47;56;59;68;91;94,6;7;8;9;11;13;15;21;22;26;28;29;30;35;36;37;38;40;42;43;45;47;48;50;51;53;54;56;57;59;61;62;63;65;67;68;69;71;73;75;76;77;79;80;83;85;88;89;90;91;92;93;94;95;96;99,11,275,0,0.8,0.1785714285714285,1.0,0.303030303030303,0.8214285714285714,10,46,0,44,56,0.9605555555555556,0.70625,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.0,0.8093879615549744,0.8093879615549744,0.634538536716222,1.4709596981577144,0.1748494248387524,0.2505820139860062,1.0985339048039426,1.1357619737269309,1.0985339048039426,1.1357619737269309,0.7203364858115782,2.725865353268888,13.728271901816449,14.185074075902108,0.4579431116580963,0.4505491959547996,0.0946396589279174,0.1319449990987777
E01,recovery,simple,seed_451,last_flow,recovery,simple,451,451,160,100,10,1.0,0.5,4000,5,1;19;21;23;46;49;73;75;77;80,1;19;21;77;80,22,525,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.8922222222222221,0.835,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.0,0.8938191982805586,0.8938191982805586,0.6315172589075166,1.0139280111539417,0.2623019393730419,0.2957015846778253,1.2136888377974873,1.1122763860295382,1.2136888377974873,1.1122763860295382,0.6429630926680443,1.71514435739535,1.0833458834456104,2.183311676535916,0.1295468732714653,0.1300604125707596,0.0282020568847656,0.0566484816372394
E01,recovery,simple,seed_498,last_flow,recovery,simple,498,498,160,100,10,1.0,0.5,4000,4,3;10;21;22;36;38;68;69;73;93,21;22;36;69,25,600,1,0.8,1.0,0.4,0.5714285714285715,0.0,4,0,6,90,4,0.8444444444444444,0.668671497584541,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.0,1.2642339570995098,1.2642339570995098,1.2330348652932672,1.189413201175536,0.0311990918062424,0.0531643298026053,1.013827444803611,1.0090276750638565,1.013827444803611,1.0090276750638565,0.7036643146961837,1.190735158190541,1.8096482171705943,2.8650725273288704,0.0717701464891433,0.0949403563556819,0.0193642675876617,0.05039843916893
E02,recovery,simple,seed_400,last_flow,recovery,simple,400,400,160,100,10,1.0,0.5,4000,8,12;18;25;31;38;49;52;81;89;97,12;18;31;38;49;52;81;97,27,650,1,0.8,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.9133333333333332,0.838125,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.1,1.1545577345619265,1.1545577345619265,1.039114616809778,0.8788439741626647,0.1154431177521483,0.180894819493896,1.1007424019854395,1.083752535675096,1.1007424019854395,1.083752535675096,0.569972939446953,0.6981507752741061,2.462072722988032,2.395286642828567,0.084080263286829,0.0910617878615483,0.032888613641262,0.0517164021730423
E02,recovery,simple,seed_434,last_flow,recovery,simple,434,434,160,100,10,1.0,0.5,4000,7,8;12;17;39;47;59;66;74;90;98,8;47;59;66;74;90;98,26,625,1,0.8,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.915,0.8390322580645162,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.1,1.0179308977316788,1.0179308977316788,0.941113560286832,1.159751138138358,0.0768173374448469,0.0974175945721569,1.019408924848316,1.0186657409249034,1.019408924848316,1.0186657409249034,0.5691736953980089,0.9246794133376228,1.2422986393598778,1.6243383746196147,0.0768741853535175,0.0976503143937885,0.0320196598768234,0.057882510125637
E02,recovery,simple,seed_437,last_flow,recovery,simple,437,437,160,100,10,1.0,0.5,4000,56,7;15;22;28;47;56;59;68;91;94,6;7;8;9;11;13;15;21;22;26;28;29;30;35;36;37;38;40;42;43;45;47;48;50;51;53;54;56;57;59;61;62;63;65;67;68;69;71;73;75;76;77;79;80;83;85;88;89;90;91;92;93;94;95;96;99,11,275,0,0.8,0.1785714285714285,1.0,0.303030303030303,0.8214285714285714,10,46,0,44,56,0.9655555555555556,0.7676136363636364,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.1,0.8111155756738251,0.8111155756738251,0.6304243249287842,1.468135678841293,0.1806912507450408,0.2517729158831819,1.1170228699258904,1.151565592008868,1.1170228699258904,1.151565592008868,0.6905479463903172,2.696481605766219,13.744393969997956,14.122604050098207,0.4584957361221313,0.4483935962116718,0.0948579236865043,0.1336927562952041
E02,recovery,simple,seed_451,last_flow,recovery,simple,451,451,160,100,10,1.0,0.5,4000,5,1;19;21;23;46;49;73;75;77;80,1;19;21;77;80,23,550,1,0.8,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.8972222222222223,0.833076923076923,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.1,0.9215584948181476,0.9215584948181476,0.676052283465417,0.9813672452406303,0.2455062113527305,0.246077196918462,1.1217711788900002,1.110940434316365,1.1217711788900002,1.110940434316365,0.5299054754790227,1.4600457149606616,1.1910289302967256,2.1520824814161323,0.1077850495278835,0.1147108020716533,0.0246503669768571,0.0518571808934211
E02,recovery,simple,seed_498,last_flow,recovery,simple,498,498,160,100,10,1.0,0.5,4000,4,3;10;21;22;36;38;68;69;73;93,21;22;36;69,25,600,1,0.8,1.0,0.4,0.5714285714285715,0.0,4,0,6,90,4,0.8311111111111111,0.6335516657255789,-1,-1,0.8,0.8,1e-05,0.95,0.9,300,1,1200,1200,0.1,1.2938151105857056,1.2938151105857056,1.2314177695526176,1.190803183817824,0.0623973410330881,0.0736014363818106,1.0527978524203,1.0477971072146517,1.0527978524203,1.0477971072146517,0.684700060464692,1.1222465277809266,1.8125735080096077,2.7337821816757466,0.0687711760401725,0.0926180839068814,0.0184869691729545,0.0484750792384147
E03,recovery,simple,seed_400,last_flow,recovery,simple,400,400,160,100,10,1.0,0.5,4000,8,12;18;25;31;38;49;52;81;89;97,12;18;31;38;49;52;81;97,27,625,2,0.6928203230275509,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.9733333333333334,0.8909090909090909,-1,-1,0.8,0.6,1e-05,0.95,0.9,300,4,300,300,0.0,1.0423447141949804,1.0423447141949804,0.8925371629753016,0.852477682897249,0.1498075512196787,0.2031558151664625,1.1438068093216351,1.129422239784174,1.1438068093216351,1.129422239784174,0.5090406126052287,0.5549889293877113,2.0591778640877187,2.0344594638219062,0.0730284750461578,0.0803359642393514,0.0278473813086748,0.0467062145471572
E03,recovery,simple,seed_434,last_flow,recovery,simple,434,434,160,100,10,1.0,0.5,4000,7,8;12;17;39;47;59;66;74;90;98,8;47;59;66;74;90;98,25,600,1,0.7444838872816797,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9566666666666668,0.8645714285714285,-1,-1,0.8,0.6,1e-05,0.95,0.9,300,4,300,300,0.0,1.022691838589459,1.022691838589459,0.9110323985847412,1.1377300321933217,0.1116594400047178,0.1070181065878615,1.046987066615181,1.034528145685964,1.046987066615181,1.034528145685964,0.480025166451002,0.9133056472357296,1.1083258459656893,1.6157437880243597,0.0739114992320537,0.0960745773523673,0.029227977618575,0.0548348575830459
E03,recovery,simple,seed_437,last_flow,recovery,simple,437,437,160,100,10,1.0,0.5,4000,56,7;15;22;28;47;56;59;68;91;94,6;7;8;9;11;13;15;21;22;26;28;29;30;35;36;37;38;40;42;43;45;47;48;50;51;53;54;56;57;59;61;62;63;65;67;68;69;71;73;75;76;77;79;80;83;85;88;89;90;91;92;93;94;95;96;99,11,275,0,0.8,0.1785714285714285,1.0,0.303030303030303,0.8214285714285714,10,46,0,44,56,0.9705555555555556,0.84125,-1,-1,0.8,0.6,1e-05,0.95,0.9,300,4,300,300,0.0,0.8093879615549744,0.8093879615549744,0.634538536716222,1.4709596981577144,0.1748494248387524,0.2505820139860062,1.0985339048039426,1.1357619737269309,1.0985339048039426,1.1357619737269309,0.7203364858115782,2.725865353268888,13.728271901816449,14.185074075902108,0.4579431116580963,0.4505491959547996,0.0946396589279174,0.1319449990987777
E03,recovery,simple,seed_451,last_flow,recovery,simple,451,451,160,100,10,1.0,0.5,4000,7,1;19;21;23;46;49;73;75;77;80,1;19;21;23;46;77;80,22,525,1,0.7444838872816797,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.8927777777777777,0.8364705882352943,-1,-1,0.8,0.6,1e-05,0.95,0.9,300,4,300,300,0.0,0.8231520234141401,0.8231520234141401,0.5817228110864661,0.981214061427634,0.241429212327674,0.2803249249172175,1.1938274572413643,1.101155579382275,1.1938274572413643,1.101155579382275,0.6006968024103996,1.606705954126453,1.0181141589677951,2.0605628561501077,0.1183483004570007,0.1189489259793609,0.0261759459972381,0.0539328642189502
E03,recovery,simple,seed_498,last_flow,recovery,simple,498,498,160,100,10,1.0,0.5,4000,4,3;10;21;22;36;38;68;69;73;93,21;22;36;69,25,600,1,0.7444838872816797,1.0,0.4,0.5714285714285715,0.0,4,0,6,90,4,0.8616666666666667,0.7496052631578947,-1,-1,0.8,0.6,1e-05,0.95,0.9,300,4,300,300,0.0,1.215441312472164,1.215441312472164,1.177034489954341,1.168001452056607,0.0384068225178232,0.054169360711585,1.01294030927287,1.0010332855206037,1.01294030927287,1.0010332855206037,0.6931881056940182,1.179777842467166,1.801620112845117,2.8357772536284447,0.0636830776929855,0.0876316075022891,0.0176449157297611,0.0482706651091575
E04,recovery,simple,seed_400,last_flow,recovery,simple,400,400,160,100,10,1.0,0.5,4000,8,12;18;25;31;38;49;52;81;89;97,12;18;31;38;49;52;81;97,28,650,2,0.6928203230275509,1.0,0.8,0.888888888888889,0.0,8,0,2,90,8,0.9688888888888888,0.88,-1,-1,0.8,0.6,1e-05,0.95,0.9,300,4,300,300,0.1,0.9723192924000712,0.9723192924000712,0.9170854294810284,0.8547906451718669,0.0552338629190427,0.1340819986215809,1.0488937849318836,1.0502626867201623,1.0488937849318836,1.0502626867201623,0.5526109801882984,0.5917033172139788,2.158145143557146,2.017883521947528,0.0655871629714965,0.0735086572567559,0.0254164561629295,0.0446655862033367
E04,recovery,simple,seed_434,last_flow,recovery,simple,434,434,160,100,10,1.0,0.5,4000,7,8;12;17;39;47;59;66;74;90;98,8;47;59;66;74;90;98,28,650,2,0.6928203230275509,1.0,0.7,0.8235294117647058,0.0,7,0,3,90,7,0.9177777777777778,0.8433333333333333,-1,-1,0.8,0.6,1e-05,0.95,0.9,300,4,300,300,0.1,1.029333746274124,1.029333746274124,0.9695569888740366,1.1218057368358112,0.0597767574000872,0.100957106198566,0.9717763065407684,0.9597185639948104,0.9717763065407684,0.9597185639948104,0.7422978165674343,0.9997134789800116,1.0835908429746215,1.5138208731280058,0.0582806188613176,0.0819580647455155,0.028763297945261,0.0534161143004894
E04,recovery,simple,seed_437,last_flow,recovery,simple,437,437,160,100,10,1.0,0.5,4000,56,7;15;22;28;47;56;59;68;91;94,6;7;8;9;11;13;15;21;22;26;28;29;30;35;36;37;38;40;42;43;45;47;48;50;51;53;54;56;57;59;61;62;63;65;67;68;69;71;73;75;76;77;79;80;83;85;88;89;90;91;92;93;94;95;96;99,11,275,0,0.8,0.1785714285714285,1.0,0.303030303030303,0.8214285714285714,10,46,0,44,56,0.9711111111111111,0.84125,-1,-1,0.8,0.6,1e-05,0.95,0.9,300,4,300,300,0.1,0.8111155756738251,0.8111155756738251,0.6304243249287842,1.468135678841293,0.1806912507450408,0.2517729158831819,1.1170228699258904,1.151565592008868,1.1170228699258904,1.151565592008868,0.6905479463903172,2.696481605766219,13.744393969997956,14.122604050098207,0.4584957361221313,0.4483935962116718,0.0948579236865043,0.1336927562952041
E04,recovery,simple,seed_451,last_flow,recovery,simple,451,451,160,100,10,1.0,0.5,4000,5,1;19;21;23;46;49;73;75;77;80,1;19;21;77;80,26,601,2,0.6928203230275509,1.0,0.5,0.6666666666666666,0.0,5,0,5,90,5,0.9033333333333332,0.8336842105263158,-1,-1,0.8,0.6,1e-05,0.95,0.9,300,4,300,300,0.1,0.828379355709173,0.828379355709173,0.6967200909526985,0.9184749761544456,0.1316592647564744,0.2370666087708815,1.0435497200983073,0.9805630834078654,1.0435497200983073,0.9805630834078654,0.5371868707409843,1.4691799842831093,1.1731423218806134,2.107116335925938,0.0807708315551281,0.0925623799838777,0.0218841824680566,0.0479336529970169
